Date,Employee Name,Activity,Allotted Hours,Utilized Hours
2024-08-20,Charlie,Stand-up Meeting,1.9,1.9
2024-08-20,David,Deployment,2.2,2
2024-08-20,Eve,Deployment,1.8,2
2024-08-21,Alice,System Development,1.6,1.4
2024-08-21,Bob,Customer Meeting,2.3,2.1
2024-08-21,Charlie,System Development,1.1,1
2024-08-21,Charlie,Stand-up Meeting,3.6,3.3
2024-08-21,David,Customer Meeting,1.6,1.5
2024-08-21,Eve,QA,3.3,3.9
2024-08-21,Eve,System Development,3,3.5
2024-08-21,Eve,Stand-up Meeting,1.2,0.6
2024-08-22,Alice,Deployment,3.3,2.9
2024-08-22,Alice,Stand-up Meeting,1.4,1.2
2024-08-22,Alice,System Development,2.5,2.4
2024-08-22,Bob,Solution Discussion,2.4,2.2
2024-08-22,Charlie,QA,1.4,1.2
2024-08-22,Charlie,Solution Discussion,1.3,1.1
2024-08-22,Charlie,System Development,3.4,3.5
2024-08-22,David,Customer Meeting,1.1,1.2
2024-08-22,Eve,System Development,2,1.9
2024-08-23,Alice,Customer Meeting,3.9,4.6
2024-08-23,Alice,QA,1.6,1.6
2024-08-23,Bob,Solution Discussion,3.6,3.8
2024-08-23,Bob,Stand-up Meeting,1.5,1.7
2024-08-23,Charlie,Solution Discussion,2.8,2.8
2024-08-23,Charlie,Deployment,3.4,4.1
2024-08-23,Charlie,QA,1.4,1.1
2024-08-23,David,System Development,2.1,1.8
2024-08-23,David,Stand-up Meeting,1.1,0.9
2024-08-23,David,QA,2.2,2.6
2024-08-23,Eve,Solution Discussion,2.5,2.5
2024-08-23,Eve,Customer Meeting,1.4,1.5
2024-08-23,Eve,Deployment,3.4,4
2024-08-26,Alice,Customer Meeting,1.8,2.1
2024-08-26,Alice,Stand-up Meeting,3.4,3.9
2024-08-26,Alice,QA,1.5,1.4
2024-08-26,Bob,System Development,1.6,1.3
2024-08-26,Bob,Customer Meeting,3.6,3.1
2024-08-26,Charlie,Deployment,1.9,1.5
2024-08-26,Charlie,Customer Meeting,2.4,2.5
2024-08-26,David,System Development,3.3,4
2024-08-26,Eve,System Development,2.8,2.9
2024-08-27,Alice,System Development,1.6,1.3
2024-08-27,Bob,Solution Discussion,1.5,1.7
2024-08-27,Bob,Deployment,1.6,1.3
2024-08-27,Bob,System Development,3.7,3.8
2024-08-27,Charlie,QA,3.6,3
2024-08-27,Charlie,Deployment,1.5,1.7
2024-08-27,David,Stand-up Meeting,1.4,1.5
2024-08-27,Eve,Deployment,2.6,2.7
2024-08-27,Eve,System Development,2.7,2.5
2024-08-28,Alice,Solution Discussion,3.2,3.5
2024-08-28,Alice,System Development,1.5,1.4
2024-08-28,Alice,Stand-up Meeting,2.5,2.1
2024-08-28,Bob,Customer Meeting,1.5,1.6
2024-08-28,Bob,System Development,3.9,3.5
2024-08-28,Charlie,QA,1.9,1.6
2024-08-28,Charlie,Deployment,2.5,3
2024-08-28,David,Customer Meeting,2.6,2.9
2024-08-28,David,QA,2.6,2.9
2024-08-28,David,Stand-up Meeting,2.6,2.2
2024-08-28,Eve,Customer Meeting,3,3.6
2024-08-28,Eve,Deployment,1.1,1.2
2024-08-28,Eve,Solution Discussion,1.5,1.2
2024-08-29,Alice,Solution Discussion,2.6,3
2024-08-29,Alice,Deployment,3.8,3.2
2024-08-29,Alice,QA,1.4,1.4
2024-08-29,Bob,Deployment,1.5,1.4
2024-08-29,Charlie,Customer Meeting,2,2
2024-08-29,Charlie,Stand-up Meeting,3.8,3.3
2024-08-29,Charlie,QA,1,0.9
2024-08-29,David,Solution Discussion,2.6,2.9
2024-08-29,David,QA,1.5,1.4
2024-08-29,Eve,Deployment,2.9,3.4
2024-08-29,Eve,Solution Discussion,3.4,3
2024-08-29,Eve,QA,1.7,1.6
2024-08-30,Alice,Deployment,2.2,2.4
2024-08-30,Alice,Customer Meeting,1.2,1.3
2024-08-30,Alice,Solution Discussion,1.4,1.2
2024-08-30,Bob,Solution Discussion,1.2,1.4
2024-08-30,Charlie,Stand-up Meeting,2.4,2.8
2024-08-30,Charlie,System Development,2.3,2.4
2024-08-30,David,Customer Meeting,2.9,2.3
2024-08-30,Eve,Customer Meeting,3.8,3.9
2024-08-30,Eve,Solution Discussion,2.5,2.2
2024-08-30,Eve,Deployment,1.3,1.3
